id;NGOname;NGOtype;name;orgType;address;employee;capital;since;registerNo;productType;product;source;enName
 A040;台灣超臨界流體協會;產業公會;連淨綠色科技股份有限公司;;231新北市新店區寶興路45巷9弄2號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=548;
 A039;台灣超臨界流體協會;產業公會;易度企業(股)公司;;23868新北市樹林區中正路443-5號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=519;
 A037;台灣超臨界流體協會;產業公會;遠東新世紀(股)公司;;桃園市320中壢區內壢遠東路2號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=452;
 A036;台灣超臨界流體協會;產業公會;歐境企業(股)公司;;台中市太平區宜昌東路23巷49弄12號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=448;
 A035;台灣超臨界流體協會;產業公會;東聯化學股份有限公司;;83245高雄市林園區工業三路3號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=447;
 A034;台灣超臨界流體協會;產業公會;亞果生醫股份有限公司;;82151高雄市路竹區路科二路57號3樓;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=385;
 A032;台灣超臨界流體協會;產業公會;台灣柏朗豪斯特股份有限公司;;302新竹縣竹北市竹北里台元街三十八號四樓之一、二;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=350;
 A031;台灣超臨界流體協會;產業公會;大儀股份有限公司;;10477台北市中山區民權東路三段6號17樓;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=321;
 A026;台灣超臨界流體協會;產業公會;哈特曼機械工程有限公司;;高雄市鼓山區文忠路50號17樓之1號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=172;
 tscfa;台灣超臨界流體協會;產業公會;台灣超臨界流體協會;;高雄市楠梓區高楠公路1001號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=170;
 A019;台灣超臨界流體協會;產業公會;工業技術研究院材料與化工研究所 化工組;;新竹市光復路二段321號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=53;
 A016;台灣超臨界流體協會;產業公會;金屬工業研究發展中心;;高雄市高楠公路1001號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=50;
 A015;台灣超臨界流體協會;產業公會;工業技術研究院 綠能所;;新竹縣竹東鎮中興路四段195號51館11樓;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=49;
 A010;台灣超臨界流體協會;產業公會;台灣端板鋼鐵企業(股)公司;;台北縣三重市光復路二段102巷32號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=44;
 A007;台灣超臨界流體協會;產業公會;喬本生醫股份有限公司;;908屏東縣長治鄉德和村神農東路9號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=41;
 A005;台灣超臨界流體協會;產業公會;聯華氣體工業(股)公司;;11568台北市南港路一段209號A棟7樓;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=39;
 A003;台灣超臨界流體協會;產業公會;亞炬企業(股)有限公司;;83167高雄市大寮區大發工業區大有四街6號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=37;
 A001;台灣超臨界流體協會;產業公會;台超萃取洗淨精機(股)公司;;50243彰化縣芬園鄉員草路一段346號;;;;;;;http://www.tscfa.org.tw/groupdetail.asp?ID=33;
